contrast,n,A,B,joint,text,vote,prompt,floor95,layer,n_layers,pool
collusion(direct) vs honest_secret [matched],80,0.9875,0.96875,0.996875,0.5,0.5,1.0,0.6763554743867244,-1,-1,mean
collusion_override vs honest_secret [confound],80,0.521875,0.553125,0.521875,0.5,1.0,1.0,0.6450602453102452,-1,-1,mean
inert_collusion vs honest_secret [wrapper],80,0.628125,0.503125,0.625,0.5,0.5,1.0,0.6547777777777776,-1,-1,mean
collusion(direct) vs honest_open [4v2],80,0.9875,0.971875,1.0,0.5,0.5,1.0,0.6247777777777779,-1,-1,mean
